Countries,Year,Trade_GDP,Inflation_Rate,Unemployment_Rate,POST_WTO,Interaction
United States,2000,25.1029953595813,3.37685727149929,3.992,0,0.0
United States,2001,22.967181335596,2.82617111885407,4.731,1,4.731
United States,2002,22.2863741094897,1.58603162650601,5.783,1,5.783
United States,2003,22.6273130062789,2.27009497336115,5.989,1,5.989
United States,2004,24.4480622643257,2.67723669309172,5.529,1,5.529
United States,2005,25.6385530316517,3.3927468454955,5.084,1,5.084
United States,2006,26.9752780973197,3.22594410070404,4.623,1,4.623
United States,2007,28.0120176822667,2.85267248150138,4.622,1,4.622
United States,2008,29.8677957945319,3.839100296651,5.784,1,5.784
United States,2009,24.7595311689876,-0.355546266299747,9.254,1,9.254
United States,2010,28.2198952346731,1.6400434423899,9.633,1,9.633
United States,2011,30.8424862411943,3.156841568622,8.949,1,8.949
United States,2012,30.6818353657295,2.06933726526067,8.069,1,8.069
United States,2013,30.0079539684645,1.46483265562717,7.375,1,7.375
United States,2014,30.0044781614855,1.62222297740817,6.168,1,6.168
United States,2015,27.8235649187872,0.118627135552451,5.28,1,5.28
United States,2016,26.6079620604584,1.26158320570536,4.869,1,4.869
United States,2017,27.3130208877206,2.13011000365961,4.355,1,4.355
United States,2018,27.6103792720958,2.44258329692817,3.896,1,3.896
United States,2019,26.4537594940475,1.81221007526021,3.669,1,3.669
United States,2020,23.4015629969394,1.23358439630629,8.055,1,8.055
United States,2021,25.6095576621932,4.69785886363742,5.349,1,5.349
United States,2022,27.3139397355363,8.00279982052121,3.65,1,3.65
United States,2023,25.2903297883366,4.11633838374488,3.638,1,3.638
United States,2024,25.3786342507088,2.94952520485207,4.022,1,4.022
Vietnam,1991,66.9469523941752,,2.14,0,0.0
Vietnam,1992,73.5768851264792,,2.109,0,0.0
Vietnam,1993,66.2122671512498,,2.037,0,0.0
Vietnam,1994,77.4731979426888,,1.972,0,0.0
Vietnam,1995,74.7212659206088,,1.955,0,0.0
Vietnam,1996,92.7057468018939,5.67499999999994,1.93,0,0.0
Vietnam,1997,94.3444840684516,3.20952606261374,2.87,0,0.0
Vietnam,1998,97.0012485118429,7.2661980440096,2.29,0,0.0
Vietnam,1999,102.787406603958,4.11710235771736,2.33,0,0.0
Vietnam,2000,111.417094419512,-1.71033727851109,2.26,0,0.0
Vietnam,2001,111.955937998525,-0.43154451172818,2.76,1,2.76
Vietnam,2002,116.696868652499,3.83082838168467,2.12,1,2.12
Vietnam,2003,124.327954439125,3.23464817293927,2.25,1,2.25
Vietnam,2004,133.016497868747,7.75494748709601,2.14,1,2.14
Vietnam,2005,130.714846045026,8.28457243128677,2.078,1,2.078
Vietnam,2006,138.313621869598,7.41801715108463,2.046,1,2.046
Vietnam,2007,154.605383996554,8.34444889773837,2.026,1,2.026
Vietnam,2008,154.317479627758,23.1154483474477,1.889,1,1.889
Vietnam,2009,134.706317721758,6.71698269988629,1.737,1,1.737
Vietnam,2010,113.977687539714,9.20746648778413,1.114,1,1.114
Vietnam,2011,125.260577940829,18.6777322770707,0.999,1,0.999
Vietnam,2012,123.224116745985,9.09470339557192,1.027,1,1.027
Vietnam,2013,130.846354866743,6.59267475899192,1.316,1,1.316
Vietnam,2014,135.410521454361,4.08455446637617,1.256,1,1.256
Vietnam,2015,144.914228195237,0.631200905175754,1.848,1,1.848
Vietnam,2016,145.409507973118,2.66824816969082,1.848,1,1.848
Vietnam,2017,160.98008365887,3.52025688811617,1.874,1,1.874
Vietnam,2018,164.663936775893,3.53962805942641,1.161,1,1.161
Vietnam,2019,164.704215031408,2.7958236745225,1.681,1,1.681
Vietnam,2020,163.245862814935,3.22093436652514,2.103,1,2.103
Vietnam,2021,186.675832836814,1.83471554810444,2.383,1,2.383
Vietnam,2022,183.153619147836,3.15650749963129,1.57,1,1.57
Vietnam,2023,164.818071269894,3.25289282667662,1.645,1,1.645
Vietnam,2024,173.862024782965,3.62109273885843,1.602,1,1.602
